competition_key,competition_name_std,competition_name_gps,competition_name_wyscout,competition_name_sportdb,created_at
1,Africa. Africa Cup of Nations Qualification,,Africa. Africa Cup of Nations Qualification,,2025-11-09 00:00:00+00:00
2,Africa. African Nations Championship,,Africa. African Nations Championship,,2025-11-09 00:00:00+00:00
3,Africa. CAF Africa Cup of Nations,,Africa. CAF Africa Cup of Nations,,2025-11-09 00:00:00+00:00
4,Africa. CAF Champions League,,Africa. CAF Champions League,,2025-11-09 00:00:00+00:00
5,Africa. CAF Confederation Cup,,Africa. CAF Confederation Cup,,2025-11-09 00:00:00+00:00
6,Africa. CAF World Cup Qualifiers,,Africa. CAF World Cup Qualifiers,,2025-11-09 00:00:00+00:00
7,Algeria. Coupe Nationale,,Algeria. Coupe Nationale,,2025-11-09 00:00:00+00:00
8,Algeria. Ligue 1,,Algeria. Ligue 1,,2025-11-09 00:00:00+00:00
9,Asia. AFC Asian Cup,,Asia. AFC Asian Cup,,2025-11-09 00:00:00+00:00
10,Asia. AFC Asian Cup Qualifiers,,Asia. AFC Asian Cup Qualifiers,,2025-11-09 00:00:00+00:00
11,Asia. AFC Champions League Elite,,Asia. AFC Champions League Elite,,2025-11-09 00:00:00+00:00
12,Asia. AFC Champions League Two,,Asia. AFC Champions League Two,,2025-11-09 00:00:00+00:00
13,Asia. AFC U17 Asian Cup,,Asia. AFC U17 Asian Cup,,2025-11-09 00:00:00+00:00
14,Asia. AFC U19 Championship,,Asia. AFC U19 Championship,,2025-11-09 00:00:00+00:00
15,Asia. AFC U20 Asian Cup,,Asia. AFC U20 Asian Cup,,2025-11-09 00:00:00+00:00
16,Asia. AFC U20 Asian Cup Qualification,,Asia. AFC U20 Asian Cup Qualification,,2025-11-09 00:00:00+00:00
17,Asia. AFC U23 Asian Cup,,Asia. AFC U23 Asian Cup,,2025-11-09 00:00:00+00:00
18,Asia. AFC U23 Asian Cup Qualification,,Asia. AFC U23 Asian Cup Qualification,,2025-11-09 00:00:00+00:00
19,Asia. AFC World Cup Qualifiers,,Asia. AFC World Cup Qualifiers,,2025-11-09 00:00:00+00:00
20,Asia. Asian Games,,Asia. Asian Games,,2025-11-09 00:00:00+00:00
21,Asia. Gulf Cup of Nations,,Asia. Gulf Cup of Nations,,2025-11-09 00:00:00+00:00
22,Asia. Islamic Solidarity Games,,Asia. Islamic Solidarity Games,,2025-11-09 00:00:00+00:00
23,Asia. Qatar-UAE Super Cup,,Asia. Qatar-UAE Super Cup,,2025-11-09 00:00:00+00:00
24,Asia. West Asia Championship U23,,Asia. West Asia Championship U23,,2025-11-09 00:00:00+00:00
25,Australia. A-League,,Australia. A-League,,2025-11-09 00:00:00+00:00
26,Belgium. Challenger Pro League,,Belgium. Challenger Pro League,,2025-11-09 00:00:00+00:00
27,Belgium. Cup,,Belgium. Cup,,2025-11-09 00:00:00+00:00
28,Belgium. Pro League,,Belgium. Pro League,,2025-11-09 00:00:00+00:00
29,Brazil. Baiano 1,,Brazil. Baiano 1,,2025-11-09 00:00:00+00:00
30,Brazil. CBF Brasileiro U20,,Brazil. CBF Brasileiro U20,,2025-11-09 00:00:00+00:00
31,Brazil. Carioca 1,,Brazil. Carioca 1,,2025-11-09 00:00:00+00:00
32,Brazil. Catarinense 1,,Brazil. Catarinense 1,,2025-11-09 00:00:00+00:00
33,Brazil. Copa do Brasil,,Brazil. Copa do Brasil,,2025-11-09 00:00:00+00:00
34,Brazil. Copa do Brasil U20,,Brazil. Copa do Brasil U20,,2025-11-09 00:00:00+00:00
35,Brazil. Copa do Nordeste,,Brazil. Copa do Nordeste,,2025-11-09 00:00:00+00:00
36,Brazil. Goiano 1,,Brazil. Goiano 1,,2025-11-09 00:00:00+00:00
37,Brazil. Paulista A1,,Brazil. Paulista A1,,2025-11-09 00:00:00+00:00
38,Brazil. Serie A,,Brazil. Serie A,,2025-11-09 00:00:00+00:00
39,China PR. CSL,,China PR. CSL,,2025-11-09 00:00:00+00:00
40,China PR. FA Cup,,China PR. FA Cup,,2025-11-09 00:00:00+00:00
41,Colombia. Copa BetPlay,,Colombia. Copa BetPlay,,2025-11-09 00:00:00+00:00
42,Colombia. Liga BetPlay,,Colombia. Liga BetPlay,,2025-11-09 00:00:00+00:00
43,Colombia. Super Cup,,Colombia. Super Cup,,2025-11-09 00:00:00+00:00
44,Costa Rica. Primera División,,Costa Rica. Primera División,,2025-11-09 00:00:00+00:00
45,Denmark. Superliga,,Denmark. Superliga,,2025-11-09 00:00:00+00:00
46,England. Carabao Cup,,England. Carabao Cup,,2025-11-09 00:00:00+00:00
47,England. Championship,,England. Championship,,2025-11-09 00:00:00+00:00
48,England. Community Shield,,England. Community Shield,,2025-11-09 00:00:00+00:00
49,England. FA Cup,,England. FA Cup,,2025-11-09 00:00:00+00:00
50,England. League One,,England. League One,,2025-11-09 00:00:00+00:00
51,England. League Two,,England. League Two,,2025-11-09 00:00:00+00:00
52,England. Papa John’s EFL Trophy,,England. Papa John’s EFL Trophy,,2025-11-09 00:00:00+00:00
53,England. Premier League,,England. Premier League,,2025-11-09 00:00:00+00:00
54,England. Premier League 2,,England. Premier League 2,,2025-11-09 00:00:00+00:00
55,England. U18 Premier League,,England. U18 Premier League,,2025-11-09 00:00:00+00:00
56,England. U21 Premier League Division 1 (OLD),,England. U21 Premier League Division 1 (OLD),,2025-11-09 00:00:00+00:00
57,Europe. Orange Veins Cup Roosendaal U18,,Europe. Orange Veins Cup Roosendaal U18,,2025-11-09 00:00:00+00:00
58,Europe. Premier League International Cup,,Europe. Premier League International Cup,,2025-11-09 00:00:00+00:00
59,Europe. Torneio Internacional Algarve U17,,Europe. Torneio Internacional Algarve U17,,2025-11-09 00:00:00+00:00
60,Europe. Tournoi Européen U21,,Europe. Tournoi Européen U21,,2025-11-09 00:00:00+00:00
61,Europe. Tournoi International de Football U17,,Europe. Tournoi International de Football U17,,2025-11-09 00:00:00+00:00
62,Europe. Tournoi International de Val du Marne,,Europe. Tournoi International de Val du Marne,,2025-11-09 00:00:00+00:00
63,Europe. U20 Elite League,,Europe. U20 Elite League,,2025-11-09 00:00:00+00:00
64,Europe. UEFA Champions League,,Europe. UEFA Champions League,,2025-11-09 00:00:00+00:00
65,Europe. UEFA Europa Conference League,,Europe. UEFA Europa Conference League,,2025-11-09 00:00:00+00:00
66,Europe. UEFA Europa League,,Europe. UEFA Europa League,,2025-11-09 00:00:00+00:00
67,Europe. UEFA European Championship,,Europe. UEFA European Championship,,2025-11-09 00:00:00+00:00
68,Europe. UEFA European Championship Qualifiers,,Europe. UEFA European Championship Qualifiers,,2025-11-09 00:00:00+00:00
69,Europe. UEFA Nations League - League A,,Europe. UEFA Nations League - League A,,2025-11-09 00:00:00+00:00
70,Europe. UEFA Nations League - League B,,Europe. UEFA Nations League - League B,,2025-11-09 00:00:00+00:00
71,Europe. UEFA Nations League - League C,,Europe. UEFA Nations League - League C,,2025-11-09 00:00:00+00:00
72,Europe. UEFA Nations League - Play-offs,,Europe. UEFA Nations League - Play-offs,,2025-11-09 00:00:00+00:00
73,Europe. UEFA Super Cup,,Europe. UEFA Super Cup,,2025-11-09 00:00:00+00:00
74,Europe. UEFA U17 Championship,,Europe. UEFA U17 Championship,,2025-11-09 00:00:00+00:00
75,Europe. UEFA U17 Championship Qualification,,Europe. UEFA U17 Championship Qualification,,2025-11-09 00:00:00+00:00
76,Europe. UEFA U19 Championship,,Europe. UEFA U19 Championship,,2025-11-09 00:00:00+00:00
77,Europe. UEFA U19 Championship Qualification,,Europe. UEFA U19 Championship Qualification,,2025-11-09 00:00:00+00:00
78,Europe. UEFA U21 Championship,,Europe. UEFA U21 Championship,,2025-11-09 00:00:00+00:00
79,Europe. UEFA U21 Championship Qualification,,Europe. UEFA U21 Championship Qualification,,2025-11-09 00:00:00+00:00
80,Europe. UEFA World Cup Qualifiers,,Europe. UEFA World Cup Qualifiers,,2025-11-09 00:00:00+00:00
81,Europe. UEFA Youth League,,Europe. UEFA Youth League,,2025-11-09 00:00:00+00:00
82,France. Coupe Gambardella,,France. Coupe Gambardella,,2025-11-09 00:00:00+00:00
83,France. Coupe de France,,France. Coupe de France,,2025-11-09 00:00:00+00:00
84,France. Coupe de la Ligue,,France. Coupe de la Ligue,,2025-11-09 00:00:00+00:00
85,France. Ligue 1,,France. Ligue 1,,2025-11-09 00:00:00+00:00
86,France. Ligue 2,,France. Ligue 2,,2025-11-09 00:00:00+00:00
87,France. National 2,,France. National 2,,2025-11-09 00:00:00+00:00
88,France. Play-offs 1/2,,France. Play-offs 1/2,,2025-11-09 00:00:00+00:00
89,France. Trophée des Champions,,France. Trophée des Champions,,2025-11-09 00:00:00+00:00
90,Germany. 2. Bundesliga,,Germany. 2. Bundesliga,,2025-11-09 00:00:00+00:00
91,Germany. 3. Liga,,Germany. 3. Liga,,2025-11-09 00:00:00+00:00
92,Germany. Bundesliga,,Germany. Bundesliga,,2025-11-09 00:00:00+00:00
93,Germany. DFB Pokal,,Germany. DFB Pokal,,2025-11-09 00:00:00+00:00
94,Germany. Play-offs 1/2,,Germany. Play-offs 1/2,,2025-11-09 00:00:00+00:00
95,Germany. Play-offs 2/3,,Germany. Play-offs 2/3,,2025-11-09 00:00:00+00:00
96,Germany. Regionalliga,,Germany. Regionalliga,,2025-11-09 00:00:00+00:00
97,Germany. Super Cup,,Germany. Super Cup,,2025-11-09 00:00:00+00:00
98,Germany. U19 Bundesliga,,Germany. U19 Bundesliga,,2025-11-09 00:00:00+00:00
99,Greece. Betsson Greek Cup,,Greece. Betsson Greek Cup,,2025-11-09 00:00:00+00:00
100,Greece. Stoiximan Super League,,Greece. Stoiximan Super League,,2025-11-09 00:00:00+00:00
101,Italy. Campionato Primavera 1,,Italy. Campionato Primavera 1,,2025-11-09 00:00:00+00:00
102,Italy. Coppa Italia,,Italy. Coppa Italia,,2025-11-09 00:00:00+00:00
103,Italy. Coppa Italia Primavera,,Italy. Coppa Italia Primavera,,2025-11-09 00:00:00+00:00
104,Italy. Serie A,,Italy. Serie A,,2025-11-09 00:00:00+00:00
105,Italy. Serie B,,Italy. Serie B,,2025-11-09 00:00:00+00:00
106,Italy. Super Cup,,Italy. Super Cup,,2025-11-09 00:00:00+00:00
107,Italy. Super Cup Primavera,,Italy. Super Cup Primavera,,2025-11-09 00:00:00+00:00
108,Mexico. Liga MX,,Mexico. Liga MX,,2025-11-09 00:00:00+00:00
109,N/C America. CONCACAF Champions Cup,,N/C America. CONCACAF Champions Cup,,2025-11-09 00:00:00+00:00
110,N/C America. CONCACAF Gold Cup,,N/C America. CONCACAF Gold Cup,,2025-11-09 00:00:00+00:00
111,N/C America. CONCACAF Gold Cup Qualification,,N/C America. CONCACAF Gold Cup Qualification,,2025-11-09 00:00:00+00:00
112,N/C America. CONCACAF Nations League - League A,,N/C America. CONCACAF Nations League - League A,,2025-11-09 00:00:00+00:00
113,N/C America. CONCACAF World Cup Qualifiers,,N/C America. CONCACAF World Cup Qualifiers,,2025-11-09 00:00:00+00:00
114,N/C America. Copa Centroamericana,,N/C America. Copa Centroamericana,,2025-11-09 00:00:00+00:00
115,N/C America. Leagues Cup,,N/C America. Leagues Cup,,2025-11-09 00:00:00+00:00
116,Netherlands. Eerste Divisie,,Netherlands. Eerste Divisie,,2025-11-09 00:00:00+00:00
117,Netherlands. Eredivisie,,Netherlands. Eredivisie,,2025-11-09 00:00:00+00:00
118,Netherlands. KNVB Beker,,Netherlands. KNVB Beker,,2025-11-09 00:00:00+00:00
119,Netherlands. Super Cup,,Netherlands. Super Cup,,2025-11-09 00:00:00+00:00
120,Poland. Cup,,Poland. Cup,,2025-11-09 00:00:00+00:00
121,Poland. Ekstraklasa,,Poland. Ekstraklasa,,2025-11-09 00:00:00+00:00
122,Poland. Super Cup,,Poland. Super Cup,,2025-11-09 00:00:00+00:00
123,Portugal. Campeonato de Portugal,,Portugal. Campeonato de Portugal,,2025-11-09 00:00:00+00:00
124,Portugal. Júniores U19,,Portugal. Júniores U19,,2025-11-09 00:00:00+00:00
125,Portugal. Liga Revelação Sub 23,,Portugal. Liga Revelação Sub 23,,2025-11-09 00:00:00+00:00
126,Portugal. Primeira Liga,,Portugal. Primeira Liga,,2025-11-09 00:00:00+00:00
127,Portugal. Segunda Liga,,Portugal. Segunda Liga,,2025-11-09 00:00:00+00:00
128,Portugal. Super Cup,,Portugal. Super Cup,,2025-11-09 00:00:00+00:00
129,Portugal. Taça da Liga,,Portugal. Taça da Liga,,2025-11-09 00:00:00+00:00
130,Portugal. Taça de Portugal,,Portugal. Taça de Portugal,,2025-11-09 00:00:00+00:00
131,Qatar. Emir Cup,,Qatar. Emir Cup,,2025-11-09 00:00:00+00:00
132,Qatar. QSL Cup,,Qatar. QSL Cup,,2025-11-09 00:00:00+00:00
133,Qatar. Qatar Cup,,Qatar. Qatar Cup,,2025-11-09 00:00:00+00:00
134,Qatar. Qatar Stars League,,Qatar. Qatar Stars League,,2025-11-09 00:00:00+00:00
135,Saudi Arabia. Crown Prince Cup (defunct),,Saudi Arabia. Crown Prince Cup (defunct),,2025-11-09 00:00:00+00:00
136,Saudi Arabia. Division 1,,Saudi Arabia. Division 1,,2025-11-09 00:00:00+00:00
137,Saudi Arabia. Division 2,,Saudi Arabia. Division 2,,2025-11-09 00:00:00+00:00
138,Saudi Arabia. King's Cup,,Saudi Arabia. King's Cup,,2025-11-09 00:00:00+00:00
139,Saudi Arabia. Play-offs 1/2,,Saudi Arabia. Play-offs 1/2,,2025-11-09 00:00:00+00:00
140,Saudi Arabia. Pro League,,Saudi Arabia. Pro League,,2025-11-09 00:00:00+00:00
141,Saudi Arabia. SAFF Premier League U18,,Saudi Arabia. SAFF Premier League U18,,2025-11-09 00:00:00+00:00
142,Saudi Arabia. Super Cup,,Saudi Arabia. Super Cup,,2025-11-09 00:00:00+00:00
143,Scotland. FA Cup,,Scotland. FA Cup,,2025-11-09 00:00:00+00:00
144,Scotland. League Cup,,Scotland. League Cup,,2025-11-09 00:00:00+00:00
145,Scotland. Premiership,,Scotland. Premiership,,2025-11-09 00:00:00+00:00
146,Serbia. Prva Liga,,Serbia. Prva Liga,,2025-11-09 00:00:00+00:00
147,Serbia. Super Liga,,Serbia. Super Liga,,2025-11-09 00:00:00+00:00
148,Serbia. U19 League,,Serbia. U19 League,,2025-11-09 00:00:00+00:00
149,Slovenia. 1. SNL,,Slovenia. 1. SNL,,2025-11-09 00:00:00+00:00
150,South Africa. Cup,,South Africa. Cup,,2025-11-09 00:00:00+00:00
151,South Africa. PSL,,South Africa. PSL,,2025-11-09 00:00:00+00:00
152,South America. CONMEBOL Copa America,,South America. CONMEBOL Copa America,,2025-11-09 00:00:00+00:00
153,South America. CONMEBOL Pre-Olympic Tournament,,South America. CONMEBOL Pre-Olympic Tournament,,2025-11-09 00:00:00+00:00
154,South America. CONMEBOL Sudamericana,,South America. CONMEBOL Sudamericana,,2025-11-09 00:00:00+00:00
155,South America. CONMEBOL U20,,South America. CONMEBOL U20,,2025-11-09 00:00:00+00:00
156,South America. CONMEBOL World Cup Qualifiers,,South America. CONMEBOL World Cup Qualifiers,,2025-11-09 00:00:00+00:00
157,South America. Copa Libertadores,,South America. Copa Libertadores,,2025-11-09 00:00:00+00:00
158,South America. Recopa Sudamericana,,South America. Recopa Sudamericana,,2025-11-09 00:00:00+00:00
159,South America. South American Youth Games,,South America. South American Youth Games,,2025-11-09 00:00:00+00:00
160,Spain. Copa del Rey,,Spain. Copa del Rey,,2025-11-09 00:00:00+00:00
161,Spain. La Liga,,Spain. La Liga,,2025-11-09 00:00:00+00:00
162,Spain. Primera Division RFEF,,Spain. Primera Division RFEF,,2025-11-09 00:00:00+00:00
163,Spain. Segunda Division RFEF,,Spain. Segunda Division RFEF,,2025-11-09 00:00:00+00:00
164,Spain. Segunda División,,Spain. Segunda División,,2025-11-09 00:00:00+00:00
165,Spain. Super Cup,,Spain. Super Cup,,2025-11-09 00:00:00+00:00
166,Switzerland. Schweizer Pokal,,Switzerland. Schweizer Pokal,,2025-11-09 00:00:00+00:00
167,Switzerland. Super League,,Switzerland. Super League,,2025-11-09 00:00:00+00:00
168,Tunisia. Ligue 1,,Tunisia. Ligue 1,,2025-11-09 00:00:00+00:00
169,Türkiye. 1. Lig,,Türkiye. 1. Lig,,2025-11-09 00:00:00+00:00
170,Türkiye. Cup,,Türkiye. Cup,,2025-11-09 00:00:00+00:00
171,Türkiye. Süper Lig,,Türkiye. Süper Lig,,2025-11-09 00:00:00+00:00
172,Türkiye. U19 Elit A,,Türkiye. U19 Elit A,,2025-11-09 00:00:00+00:00
173,United Arab Emirates. League Cup,,United Arab Emirates. League Cup,,2025-11-09 00:00:00+00:00
174,United Arab Emirates. UAE Pro League,,United Arab Emirates. UAE Pro League,,2025-11-09 00:00:00+00:00
175,United States. MLS,,United States. MLS,,2025-11-09 00:00:00+00:00
176,United States. MLS is back Tournament,,United States. MLS is back Tournament,,2025-11-09 00:00:00+00:00
177,United States. US Open Cup,,United States. US Open Cup,,2025-11-09 00:00:00+00:00
178,United States. USL Championship,,United States. USL Championship,,2025-11-09 00:00:00+00:00
179,Uruguay. Copa Uruguay,,Uruguay. Copa Uruguay,,2025-11-09 00:00:00+00:00
180,Uruguay. Primera División,,Uruguay. Primera División,,2025-11-09 00:00:00+00:00
181,Uruguay. Segunda División,,Uruguay. Segunda División,,2025-11-09 00:00:00+00:00
182,World. AL KASS International Cup U17,,World. AL KASS International Cup U17,,2025-11-09 00:00:00+00:00
183,World. Arab Club Champions Cup,,World. Arab Club Champions Cup,,2025-11-09 00:00:00+00:00
184,World. Arab Cup,,World. Arab Cup,,2025-11-09 00:00:00+00:00
185,World. Audi Cup,,World. Audi Cup,,2025-11-09 00:00:00+00:00
186,World. CONMEBOL/UEFA Youth Finalissima,,World. CONMEBOL/UEFA Youth Finalissima,,2025-11-09 00:00:00+00:00
187,World. COTIF Tournament,,World. COTIF Tournament,,2025-11-09 00:00:00+00:00
188,World. Club Friendlies,,World. Club Friendlies,,2025-11-09 00:00:00+00:00
189,World. Confederations Cup,,World. Confederations Cup,,2025-11-09 00:00:00+00:00
190,World. Costa Calida Football Week,,World. Costa Calida Football Week,,2025-11-09 00:00:00+00:00
191,World. Emirates Cup,,World. Emirates Cup,,2025-11-09 00:00:00+00:00
192,World. FIFA Club World Cup,,World. FIFA Club World Cup,,2025-11-09 00:00:00+00:00
193,World. FIFA Intercontinental Cup,,World. FIFA Intercontinental Cup,,2025-11-09 00:00:00+00:00
194,World. FIFA U17 World Cup,,World. FIFA U17 World Cup,,2025-11-09 00:00:00+00:00
195,World. FIFA U20 World Cup,,World. FIFA U20 World Cup,,2025-11-09 00:00:00+00:00
196,World. FIFA WC Qualification Intercontinental Play-offs,,World. FIFA WC Qualification Intercontinental Play-offs,,2025-11-09 00:00:00+00:00
197,World. FIFA World Cup,,World. FIFA World Cup,,2025-11-09 00:00:00+00:00
198,World. Florida Cup,,World. Florida Cup,,2025-11-09 00:00:00+00:00
199,World. Friendlies,,World. Friendlies,,2025-11-09 00:00:00+00:00
200,World. Hybrid Friendlies,,World. Hybrid Friendlies,,2025-11-09 00:00:00+00:00
201,World. International Champions Cup,,World. International Champions Cup,,2025-11-09 00:00:00+00:00
202,World. Montaigu Challenge Nations U16,,World. Montaigu Challenge Nations U16,,2025-11-09 00:00:00+00:00
203,World. Oberndorf Tournament U19,,World. Oberndorf Tournament U19,,2025-11-09 00:00:00+00:00
204,World. Olympics,,World. Olympics,,2025-11-09 00:00:00+00:00
205,World. Other Competition Matches,,World. Other Competition Matches,,2025-11-09 00:00:00+00:00
206,World. Other Friendlies,,World. Other Friendlies,,2025-11-09 00:00:00+00:00
207,World. Premier League Asia Trophy,,World. Premier League Asia Trophy,,2025-11-09 00:00:00+00:00
208,World. Sydney Super Cup,,World. Sydney Super Cup,,2025-11-09 00:00:00+00:00
209,World. Trofeo Joan Gamper,,World. Trofeo Joan Gamper,,2025-11-09 00:00:00+00:00
210,World. U16 National Team Friendlies,,World. U16 National Team Friendlies,,2025-11-09 00:00:00+00:00
211,World. U17 National Team Friendlies,,World. U17 National Team Friendlies,,2025-11-09 00:00:00+00:00
212,World. U18 Limoges Tournament,,World. U18 Limoges Tournament,,2025-11-09 00:00:00+00:00
213,World. U18 National Team Friendlies,,World. U18 National Team Friendlies,,2025-11-09 00:00:00+00:00
214,World. U19 National Team Friendlies,,World. U19 National Team Friendlies,,2025-11-09 00:00:00+00:00
215,World. U20 National Team Friendlies,,World. U20 National Team Friendlies,,2025-11-09 00:00:00+00:00
216,World. U21 National Team Friendlies,,World. U21 National Team Friendlies,,2025-11-09 00:00:00+00:00
217,World. U23 National Team Friendlies,,World. U23 National Team Friendlies,,2025-11-09 00:00:00+00:00
218,World. United International Football Festival,,World. United International Football Festival,,2025-11-09 00:00:00+00:00
219,World. World Youth Festival Toulon Maurice Revello,,World. World Youth Festival Toulon Maurice Revello,,2025-11-09 00:00:00+00:00
220,World. Youth Friendlies,,World. Youth Friendlies,,2025-11-09 00:00:00+00:00
